build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s19j-plus-xil-nand-v1.3.4,s19j-plus,Antminer S19j+,Bitmain,x19,XIL,nand,s19j-plus-xil-nand,1.3.4,stable,vnish-s19j-plus-xil-nand-v1.3.4.tar.gz,16186846,6361a55b19bc99226c94af421e24d339f5b50377f3188b4632ee0e6e5c101321
s19j-xp-aml-nand-v1.3.4,s19j-xp,Antminer S19j XP,Bitmain,x19,AML,nand,s19j-xp-aml-nand,1.3.4,stable,vnish-s19j-xp-aml-nand-v1.3.4.tar.gz,21542047,a941e456e35d781cc994cec3ce0693c08d98cfaafba3e8a2578272dbe318c438
s19j-xp-cv-nand-v1.3.4,s19j-xp,Antminer S19j XP,Bitmain,x19,CV,nand,s19j-xp-cv-nand,1.3.4,stable,vnish-s19j-xp-cv-nand-v1.3.4.tar.gz,12376987,88e1322c3973611423bf0666989e3c4f412bbe8a478112164e379fe52e4bb092
s19j-xp-xil-nand-v1.3.4,s19j-xp,Antminer S19j XP,Bitmain,x19,XIL,nand,s19j-xp-xil-nand,1.3.4,stable,vnish-s19j-xp-xil-nand-v1.3.4.tar.gz,16166134,d258ec81eb4b60121e8c9fea3061f25244e8a64133031ae82622fe96c5938ffa
s19jpro-aml-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,AML,nand,s19jpro-aml-nand,1.3.4,stable,vnish-s19jpro-aml-nand-v1.3.4.tar.gz,21550111,e2e7986d6c04faa8d935a4bef2987ae6a0ec0434a93e5225d369d53b2f1035cf
s19jpro-bb-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,BB,nand,s19jpro-bb-nand,1.3.4,stable,vnish-s19jpro-bb-nand-v1.3.4.tar.gz,19268196,27f21cf147760746fd321e3e4a0377003765b8f62627af51d2918725198bca03
s19jpro-cv-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,CV,nand,s19jpro-cv-nand,1.3.4,stable,vnish-s19jpro-cv-nand-v1.3.4.tar.gz,12378768,a8ff98cdc7e43674008b7adcd58c589eb97bc274743e48efc3aa6e6ca653ff7d
s19jpro-xil-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,XIL,nand,s19jpro-xil-nand,1.3.4,stable,vnish-s19jpro-xil-nand-v1.3.4.tar.gz,16180365,8a9449ce44660e8de305dce0726ac45dbb8cd9b66b0fdee499bad08946707174
s19jpro-a-aml-nand-v1.3.4,s19jpro-a,Antminer S19j Pro A,Bitmain,x19,AML,nand,s19jpro-a-aml-nand,1.3.4,stable,vnish-s19jpro-a-aml-nand-v1.3.4.tar.gz,21545066,afd3d25d07fb446b8ab079aa1ed0b09229073f6d7a4f2ce174c7958df954ccf4
s19jpro-a-bb-nand-v1.3.4,s19jpro-a,Antminer S19j Pro A,Bitmain,x19,BB,nand,s19jpro-a-bb-nand,1.3.4,stable,vnish-s19jpro-a-bb-nand-v1.3.4.tar.gz,19249379,6c55bb9cbd7946fb54635d7b9f832d9e1d39b62e896987a6a9bc892dbad20d6c
s19jpro-a-cv-nand-v1.3.4,s19jpro-a,Antminer S19j Pro A,Bitmain,x19,CV,nand,s19jpro-a-cv-nand,1.3.4,stable,vnish-s19jpro-a-cv-nand-v1.3.4.tar.gz,12376595,35aa56a9b80895658868a100da25078b6d30d9a4c877b96b1901f867cb3c1878
s19jpro-plus-aml-nand-v1.3.4,s19jpro-plus,Antminer S19j Pro+,Bitmain,x19,AML,nand,s19jpro-plus-aml-nand,1.3.4,stable,vnish-s19jpro-plus-aml-nand-v1.3.4.tar.gz,21544665,eca01f752b956055b744ee277181b4ac2c859e57438c2f579e94a154c26a7f6f
s19jpro-plus-bb-nand-v1.3.4,s19jpro-plus,Antminer S19j Pro+,Bitmain,x19,BB,nand,s19jpro-plus-bb-nand,1.3.4,stable,vnish-s19jpro-plus-bb-nand-v1.3.4.tar.gz,19253839,8dd843fd8574eaec5841a126d9b9d2a9818782649187b34e03d1aae8998af26a
s19jpro-plus-cv-nand-v1.3.4,s19jpro-plus,Antminer S19j Pro+,Bitmain,x19,CV,nand,s19jpro-plus-cv-nand,1.3.4,stable,vnish-s19jpro-plus-cv-nand-v1.3.4.tar.gz,12357797,4f7a681a83859e476e21d0d846df4cb4afb49bee8414cca8aa982a2c44a815d8
s19jpro-plus-xil-nand-v1.3.4,s19jpro-plus,Antminer S19j Pro+,Bitmain,x19,XIL,nand,s19jpro-plus-xil-nand,1.3.4,stable,vnish-s19jpro-plus-xil-nand-v1.3.4.tar.gz,16165283,03942a74e3c6a0c32c15b9ef77a07f9597f5e56ed1cf38059f781884d92caa6b
s19kpro-aml-nand-v1.3.4,s19kpro,Antminer S19k Pro,Bitmain,x19,AML,nand,s19kpro-aml-nand,1.3.4,stable,vnish-s19kpro-aml-nand-v1.3.4.tar.gz,21548876,91b3239aaed1a5afc9a57f193b0233f9f5ab703142d58a8a31d002a4ea0938c3
s19kpro-cv-nand-v1.3.4,s19kpro,Antminer S19k Pro,Bitmain,x19,CV,nand,s19kpro-cv-nand,1.3.4,stable,vnish-s19kpro-cv-nand-v1.3.4.tar.gz,12381544,e6bfbf24498be2546c9ce6ed81be27306b0f3d7b296e9db86fbac65f0761d195
s19kpro-xil-nand-v1.3.4,s19kpro,Antminer S19k Pro,Bitmain,x19,XIL,nand,s19kpro-xil-nand,1.3.4,stable,vnish-s19kpro-xil-nand-v1.3.4.tar.gz,16181989,e8d2e2a4b167dbe7b658bba04fb3420ccfc5db0dd006175c189d5b0057415867
s19plus-xil-nand-v1.3.4,s19plus,Antminer S19+,Bitmain,x19,XIL,nand,s19plus-xil-nand,1.3.4,stable,vnish-s19plus-xil-nand-v1.3.4.tar.gz,16185534,899f3fa0e2456ec78f49b1708f6c70243a8ab9014c6baf7f04a6ca2ecf9d887e
s19pro-xil-nand-v1.3.4,s19pro,Antminer S19 Pro,Bitmain,x19,XIL,nand,s19pro-xil-nand,1.3.4,stable,vnish-s19pro-xil-nand-v1.3.4.tar.gz,16182037,20ff9aadf6a99729719782aad693b69aa1d9ef8db79ade9a119d9e01aac7f4c7
s19pro-a-xil-nand-v1.3.4,s19pro-a,Antminer S19 Pro-A,Bitmain,x19,XIL,nand,s19pro-a-xil-nand,1.3.4,stable,vnish-s19pro-a-xil-nand-v1.3.4.tar.gz,16179511,9dd15ae23c1b79b1f4e47d40b063caa97e55cba93d229f836985abd3edc95514
s19pro-hydro-xil-nand-v1.3.4,s19pro-hydro,Antminer S19 Pro Hydro,Bitmain,x19,XIL,nand,s19pro-hydro-xil-nand,1.3.4,stable,vnish-s19pro-hydro-xil-nand-v1.3.4.tar.gz,16185458,fc6c46b9f3e2e20654e446df4566a75e650847c91e260f84b1136f3fc6aae3c1
s19pro-hydro-120-xil-nand-v1.3.4,s19pro-hydro-120,Antminer S19 Pro Hydro (120),Bitmain,x19,XIL,nand,s19pro-hydro-120-xil-nand,1.3.4,stable,vnish-s19pro-hydro-120-xil-nand-v1.3.4.tar.gz,16171604,0082d9991237cdfc8ba2bb1dd1778670a0b4bc938b549fa567923d82128b806f
s19pro-plus-hydro-xil-nand-v1.3.4,s19pro-plus-hydro,Antminer S19 Pro+ Hydro,Bitmain,x19,XIL,nand,s19pro-plus-hydro-xil-nand,1.3.4,stable,vnish-s19pro-plus-hydro-xil-nand-v1.3.4.tar.gz,16170622,7598b685c5db7dd10c7c46731cb9cbda4dead93f7457a708d569cb73f6778d08
s19xp-aml-nand-v1.3.4,s19xp,Antminer S19 XP,Bitmain,x19,AML,nand,s19xp-aml-nand,1.3.4,stable,vnish-s19xp-aml-nand-v1.3.4.tar.gz,21541934,cbdc4e3ad9f7a5f1baec9ea1aa486b06db9b50930ee6c3a65a006fa72eb13d71
s19xp-cv-nand-v1.3.4,s19xp,Antminer S19 XP,Bitmain,x19,CV,nand,s19xp-cv-nand,1.3.4,stable,vnish-s19xp-cv-nand-v1.3.4.tar.gz,12359683,7ff5391d1b3d42c4830aa9b33a838c66646fa5322f67f4f37142802a75b2fc2e
s19xp-xil-nand-v1.3.4,s19xp,Antminer S19 XP,Bitmain,x19,XIL,nand,s19xp-xil-nand,1.3.4,stable,vnish-s19xp-xil-nand-v1.3.4.tar.gz,16169985,86b0f300eef82e347dceedb0fd4916aa8ec55807a80b606be249fe6fbc8ebb2f
s19xp-hydro-xil-nand-v1.3.4,s19xp-hydro,Antminer S19 XP Hydro,Bitmain,x19,XIL,nand,s19xp-hydro-xil-nand,1.3.4,stable,vnish-s19xp-hydro-xil-nand-v1.3.4.tar.gz,16172362,0bcca6d466a2fc1db9c4d278910221d7111cab0ad9cee65d517184c53ce0c150
s19xp-plus-aml-nand-v1.3.4,s19xp-plus,Antminer S19 XP+,Bitmain,x19,AML,nand,s19xp-plus-aml-nand,1.3.4,stable,vnish-s19xp-plus-aml-nand-v1.3.4.tar.gz,21541828,6bbc2a4822f603e3851401a6d4f1af14f42bf5aedb91eb9de44e51a673aa1a6b
s19xp-plus-hydro-xil-nand-v1.3.4,s19xp-plus-hydro,Antminer S19 XP+ Hydro,Bitmain,x19,XIL,nand,s19xp-plus-hydro-xil-nand,1.3.4,stable,vnish-s19xp-plus-hydro-xil-nand-v1.3.4.tar.gz,16166005,6d2c1838f724c39db6a643db10f782ab1681f61cb650de69a53cf73de3cb72bd
s21-aml-nand-v1.3.4,s21,Antminer S21,Bitmain,x21,AML,nand,s21-aml-nand,1.3.4,stable,vnish-s21-aml-nand-v1.3.4.tar.gz,21541837,5474fc4e3d97b0460cc95ca402752eb755199c38b1a61e3165e4d67550344b58
s21-hydro-xil-nand-v1.3.4,s21-hydro,Antminer S21 Hydro,Bitmain,x21,XIL,nand,s21-hydro-xil-nand,1.3.4,stable,vnish-s21-hydro-xil-nand-v1.3.4.tar.gz,16180710,78926aecc84dab3940d08c165450f13d8e022a7402602fe0653120babc3a9367
s21-imm-aml-nand-v1.3.4,s21-imm,Antminer S21 Imm,Bitmain,x21,AML,nand,s21-imm-aml-nand,1.3.4,stable,vnish-s21-imm-aml-nand-v1.3.4.tar.gz,21552292,e9269a67d413c686c4a7d21af003000ba4d7fa22d4b36af8ced4d9dec511d078
