route_id,model_id,model_name,control_board,control_board_code,install_method,firmware_version,file_name,sha256,size_bytes
s19jpro-a-aml-nand,s19jpro-a,Antminer S19j Pro A,AML,aml,nand,1.3.6,vnish-s19jpro-a-aml-nand-v1.3.6.tar.gz,0d673a3261c562856cd21ab250bb3dc5191c94bf795e52a1e62acd991a741fae,21548184
s19jpro-a-bb-nand,s19jpro-a,Antminer S19j Pro A,BB,bb,nand,1.3.6,vnish-s19jpro-a-bb-nand-v1.3.6.tar.gz,5d095865787a8c2ee2e7427d8deb15e73df63d2fd6d5c9f16c84643566c24d65,19250128
s19jpro-a-cv-nand,s19jpro-a,Antminer S19j Pro A,CV,cv,nand,1.3.6,vnish-s19jpro-a-cv-nand-v1.3.6.tar.gz,3db78f3bd427e6f58a7c4a1c9bb4015e2183f800522a388b477f72ad4b234bec,12469746
s19jpro-aml-nand,s19jpro,Antminer S19j Pro,AML,aml,nand,1.3.6,vnish-s19jpro-aml-nand-v1.3.6.tar.gz,bf679cbf6ff3c17bef870e93851de1ee7336aafcc44a06ecdba63fbd78bb29e6,21543992
s19jpro-bb-nand,s19jpro,Antminer S19j Pro,BB,bb,nand,1.3.6,vnish-s19jpro-bb-nand-v1.3.6.tar.gz,8d9c33b10aab913db0efad0922f4005fe97f94e65e584cc189ed3242b670ce3c,19255457
s19jpro-cv-nand,s19jpro,Antminer S19j Pro,CV,cv,nand,1.3.6,vnish-s19jpro-cv-nand-v1.3.6.tar.gz,731f00dbca57d33a8f200a0d1627225a23a5847259848846b6711e002d0734ed,12492328
s19jpro-plus-aml-nand,s19jpro-plus,Antminer S19j Pro+,AML,aml,nand,1.3.6,vnish-s19jpro-plus-aml-nand-v1.3.6.tar.gz,c7422e9b5e4f55363a7710c4966ae5fea033d379f7b0fc50e27c0a3078354307,21567399
s19jpro-plus-bb-nand,s19jpro-plus,Antminer S19j Pro+,BB,bb,nand,1.3.6,vnish-s19jpro-plus-bb-nand-v1.3.6.tar.gz,5590d41c2495ceeaac30802b5ef81d259a31c7758b701f6670fa9cfb3cc42a91,19277262
s19jpro-plus-cv-nand,s19jpro-plus,Antminer S19j Pro+,CV,cv,nand,1.3.6,vnish-s19jpro-plus-cv-nand-v1.3.6.tar.gz,27a149f1199f14838bc3892afe77160436fc741f63a9ca3483e4c3552dcebeba,12490984
s19jpro-plus-xil-nand,s19jpro-plus,Antminer S19j Pro+,XIL,xil,nand,1.3.6,vnish-s19jpro-plus-xil-nand-v1.3.6.tar.gz,4af5391057a905d080ebe98d04c6bd64ce80962efff2e9c7d8a625c4c003ddda,16192360
