route_id,model_id,model_name,control_board,control_board_code,install_method,firmware_version,file_name,sha256,size_bytes
s19jpro-a-cv-nand,s19jpro-a,Antminer S19j Pro A,CV,cv,nand,1.3.5,vnish-s19jpro-a-cv-nand-v1.3.5.tar.gz,4ba848b4a59ddc6763a91be97b841e26da0d9359bdfa33cab977c17f978e7797,12395429
s19jpro-aml-nand,s19jpro,Antminer S19j Pro,AML,aml,nand,1.3.5,vnish-s19jpro-aml-nand-v1.3.5.tar.gz,44adda05a0ec85d8d2fed3536d69ae260489e40141870e37bd354fde3013c613,21573858
s19jpro-bb-nand,s19jpro,Antminer S19j Pro,BB,bb,nand,1.3.5,vnish-s19jpro-bb-nand-v1.3.5.tar.gz,2be55945c1119a1c59929890dc5d919fdef4df57cace5992a7a202008e04f103,19253325
s19jpro-cv-nand,s19jpro,Antminer S19j Pro,CV,cv,nand,1.3.5,vnish-s19jpro-cv-nand-v1.3.5.tar.gz,3250bf081a00c600b798bf664dbbf192c59b59bcde6c0b14250ed257d5150872,12364083
s19jpro-plus-aml-nand,s19jpro-plus,Antminer S19j Pro+,AML,aml,nand,1.3.5,vnish-s19jpro-plus-aml-nand-v1.3.5.tar.gz,42d15ac890ef92bdd69cd4bfbe517435751b4e49ee9a36d531f29474bd10c6cc,21566914
s19jpro-plus-bb-nand,s19jpro-plus,Antminer S19j Pro+,BB,bb,nand,1.3.5,vnish-s19jpro-plus-bb-nand-v1.3.5.tar.gz,ad9bf1a1a3dc1d83429bcdcd2193696a1ded061d188ac1499bdc82cac00fa28e,19287969
s19jpro-plus-cv-nand,s19jpro-plus,Antminer S19j Pro+,CV,cv,nand,1.3.5,vnish-s19jpro-plus-cv-nand-v1.3.5.tar.gz,583f62cd2cfda7ef0df48223adb549a98bf77ac43fb0adf7352830bf966edf21,12390023
s19jpro-plus-xil-nand,s19jpro-plus,Antminer S19j Pro+,XIL,xil,nand,1.3.5,vnish-s19jpro-plus-xil-nand-v1.3.5.tar.gz,071e9da4597da9223b7475c476b8818d11ea4cf91433cd02f23584a484eac1e8,16177934
s19jpro-xil-nand,s19jpro,Antminer S19j Pro,XIL,xil,nand,1.3.5,vnish-s19jpro-xil-nand-v1.3.5.tar.gz,a7648fe0616da7bc338fe53a1071c2321e20a7e0f02f735493c2301b8d121e5b,16202834
s19kpro-aml-nand,s19kpro,Antminer S19k Pro,AML,aml,nand,1.3.5,vnish-s19kpro-aml-nand-v1.3.5.tar.gz,862e5879fdd051e044a3a2f8e1cd1e0b1061a338add5dd1b7a1c0e7924e75c39,21550002
s19kpro-cv-nand,s19kpro,Antminer S19k Pro,CV,cv,nand,1.3.5,vnish-s19kpro-cv-nand-v1.3.5.tar.gz,94cd710ecf527a7abefbb24d48126d47d6402dff1733ad356be0eb4d9333d5c3,12368197
s19kpro-xil-nand,s19kpro,Antminer S19k Pro,XIL,xil,nand,1.3.5,vnish-s19kpro-xil-nand-v1.3.5.tar.gz,57d8ccf101df3dcfbe9fb2f392647ea4724d8ccc0516ccd83ed1b27ce5719be4,16171515
s19plus-xil-nand,s19plus,Antminer S19+,XIL,xil,nand,1.3.5,vnish-s19plus-xil-nand-v1.3.5.tar.gz,b30f62dcdfeaf4277975ad58479e23165303880747ac6d7e4c257ae3b00982ac,16182680
s19pro-a-xil-nand,s19pro-a,Antminer S19 Pro-A,XIL,xil,nand,1.3.5,vnish-s19pro-a-xil-nand-v1.3.5.tar.gz,a5c3c14a3e27d489374358b3fb8f7b203c50f2c213f3dd65749ea8bdd35dd9f7,16198437
s19pro-hydro-120-xil-nand,s19pro-hydro-120,Antminer S19 Pro Hydro (120),XIL,xil,nand,1.3.5,vnish-s19pro-hydro-120-xil-nand-v1.3.5.tar.gz,82cc9567ceabfe1cca969612561be199e413710f365505ead500ea505ca81375,16196563
