build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s19-88-xil-nand-v1.3.4,s19-88,Antminer S19 (88),Bitmain,x19,XIL,nand,s19-88-xil-nand,1.3.4,stable,vnish-s19-88-xil-nand-v1.3.4.tar.gz,16180554,e864e3b32ff7ffac04dded716a1a768899ac75d31916af8e5ca792c5481fc828
s19-88-xil-nand-v1.3.5,s19-88,Antminer S19 (88),Bitmain,x19,XIL,nand,s19-88-xil-nand,1.3.5,stable,vnish-s19-88-xil-nand-v1.3.5.tar.gz,16175548,d161a3373ffead720eba5702dd87bcc28ed36d144103bc81c851d867f5e77dae
s19-88-bb-nand-v1.3.5,s19-88,Antminer S19 (88),Bitmain,x19,BB,nand,s19-88-bb-nand,1.3.5,stable,vnish-s19-88-bb-nand-v1.3.5.tar.gz,19258261,6ee67be44572f07a5e29ef9c8051650ec43be518e95020394fb5ff38cc65a492
s19-88-aml-nand-v1.3.5,s19-88,Antminer S19 (88),Bitmain,x19,AML,nand,s19-88-aml-nand,1.3.5,stable,vnish-s19-88-aml-nand-v1.3.5.tar.gz,21572556,f61725aa2e86d2e79c5f9712f4f873748a8311e93174e2563cbc246ba88c207d
s19-88-cv-nand-v1.3.5,s19-88,Antminer S19 (88),Bitmain,x19,CV,nand,s19-88-cv-nand,1.3.5,stable,vnish-s19-88-cv-nand-v1.3.5.tar.gz,12388915,944139ca3de3c6256161bcdc7413b5a92c17561421217586463905cca05a0a54
s19-88-aml-nand-v1.3.6,s19-88,Antminer S19 (88),Bitmain,x19,AML,nand,s19-88-aml-nand,1.3.6,stable,vnish-s19-88-aml-nand-v1.3.6.tar.gz,21569873,2384899eaf540ffea0088126985c7a8ed07359c1353964ec00de741280ff1ce6
s19-88-bb-nand-v1.3.6,s19-88,Antminer S19 (88),Bitmain,x19,BB,nand,s19-88-bb-nand,1.3.6,stable,vnish-s19-88-bb-nand-v1.3.6.tar.gz,19255577,dd1883f67626be86a569327cdb0c6eddecf3bc85514c3c060d88b3d2b7f7d354
s19-88-cv-nand-v1.3.6,s19-88,Antminer S19 (88),Bitmain,x19,CV,nand,s19-88-cv-nand,1.3.6,stable,vnish-s19-88-cv-nand-v1.3.6.tar.gz,12485250,39d9ab99e0a5c9cf8e836d7ffe9e958c7d36b5e1886ef4b162c5b6abdffbbf9f
s19-88-xil-nand-v1.3.6,s19-88,Antminer S19 (88),Bitmain,x19,XIL,nand,s19-88-xil-nand,1.3.6,stable,vnish-s19-88-xil-nand-v1.3.6.tar.gz,16193013,c71736168e6b5908345c77c88c951280ae290c2b549a4cf30573a56e99db9100
s19-hydro-xil-nand-v1.3.4,s19-hydro,Antminer S19 Hydro,Bitmain,x19,XIL,nand,s19-hydro-xil-nand,1.3.4,stable,vnish-s19-hydro-xil-nand-v1.3.4.tar.gz,16165383,0c7bcf1900cbd0ee12ff0ac20d0349989d5688bee19cad378ce9a23807c0d142
s19-hydro-xil-nand-v1.3.5,s19-hydro,Antminer S19 Hydro,Bitmain,x19,XIL,nand,s19-hydro-xil-nand,1.3.5,stable,vnish-s19-hydro-xil-nand-v1.3.5.tar.gz,16199553,4829a0c691fd5915595b4f12df7790286671eeba2a11d0f4c0e8ae4db8b45ffa
s19-hydro-xil-nand-v1.3.6,s19-hydro,Antminer S19 Hydro,Bitmain,x19,XIL,nand,s19-hydro-xil-nand,1.3.6,stable,vnish-s19-hydro-xil-nand-v1.3.6.tar.gz,16174277,3062b503d96d30c381a4b07ba3e2ea87ffe42c07c51f1d0d2ff0484dccfee3a5
s19a-xil-nand-v1.3.4,s19a,Antminer S19a,Bitmain,x19,XIL,nand,s19a-xil-nand,1.3.4,stable,vnish-s19a-xil-nand-v1.3.4.tar.gz,16181720,d1b0139a1dfd92697b7eee90eedadc033091890c770986c6ed21bf5f8caafcfe
s19a-xil-nand-v1.3.5,s19a,Antminer S19a,Bitmain,x19,XIL,nand,s19a-xil-nand,1.3.5,stable,vnish-s19a-xil-nand-v1.3.5.tar.gz,16172269,8ab6982093eb996893b79bbf31e44bf656700699f16e1fe892dd2752f4d17609
